Source;Target;LinkType;Weight;AverageHash;Sha1;Category
josephinemd34;vincechil;follow;0.2;None;None; None
miss7terre;vincechil;follow;0.2;None;None; None
nathalielavi;vincechil;follow;0.2;None;None; None
pauladusud;vincechil;follow;0.1;None;None; None
remseeks;vincechil;follow;0.1;None;None; None
lmptlr;vincechil;follow;0.2;None;None; None
JuristePLE;vincechil;follow;0.1;None;None; None
LaManifPourTous;vincechil;follow;0.1;None;None; None
jylgallou;vincechil;follow;0.1;None;None; None
elisahk92;vincechil;follow;0.2;None;None; None
ManifPourTous49;vincechil;follow;0.2;None;None; None
NPOMMERET;vincechil;follow;0.2;None;None; None
PrintempsFrance;vincechil;follow;0.1;None;None; None
Barberis888;vincechil;follow;0.2;None;None; None
fenotteenragee;vincechil;follow;0.2;None;None; None
albdmt;vincechil;follow;0.2;None;None; None
LMPT57;vincechil;follow;0.2;None;None; None
Info3Re;vincechil;follow;0.2;None;None; None
justelebonsens;vincechil;follow;0.1;None;None; None
SJallamion;vincechil;follow;0.1;None;None; None
Valeurs;vincechil;follow;0.1;None;None; None
mh_flo;vincechil;follow;0.2;None;None; None
antoinne92;vincechil;follow;0.2;None;None; None
tof92130;vincechil;follow;0.2;None;None; None
JeanMarcVILLER;vincechil;follow;0.1;None;None; None
mydaphne;vincechil;follow;0.1;None;None; None
CarolineRoux1;vincechil;follow;0.1;None;None; None
krunch_fr;vincechil;follow;0.2;None;None; None
vaubandaniel;vincechil;follow;0.2;None;None; None
LMPT75;vincechil;follow;0.1;None;None; None
C_Pantalon;vincechil;follow;0.1;None;None; None
Sentinelles_fr;vincechil;follow;0.1;None;None; None
AbdelSansLeB;vincechil;follow;0.2;None;None; None
LMPT53;vincechil;follow;0.1;None;None; None
FrkLaBaule;vincechil;follow;0.2;None;None; None
ManifPourTous59;vincechil;follow;0.1;None;None; None
LMPT44;vincechil;follow;0.1;None;None; None
LEtudiant_Libre;elleaime53;follow;0.1;None;None; None
ArjPascal;elleaime53;follow;0.1;None;None; None
3Genevieve;elleaime53;follow;0.1;None;None; None
ZOREIL1945;elleaime53;follow;0.1;None;None; None
Manifpourtous74;elleaime53;follow;0.1;None;None; None
elleaime53;manifpourtous45;follow;0.1;None;None; None
elleaime53;npommeret1;follow;0.2;None;None; None
elleaime53;npommeret2;follow;0.1;None;None; None
Vero_Jacquier;elleaime53;follow;0.1;None;None; None
allianceVITA;elleaime53;follow;0.1;None;None; None
deforges_g;elleaime53;follow;0.1;None;None; None
Na_DrZ;elleaime53;follow;0.1;None;None; None
elleaime53;nathalielavi;follow;0.1;None;None; None
ManifPourTous85;elleaime53;follow;0.1;None;None; None
Bearnais_64300;elleaime53;follow;0.1;None;None; None
Citadelle29;elleaime53;follow;0.2;None;None; None
JuristePLE;elleaime53;follow;0.1;None;None; None
LaManifPourTous;elleaime53;follow;0.1;None;None; None
Le_BienCommun;elleaime53;follow;0.2;None;None; None
christineboutin;elleaime53;follow;0.1;None;None; None
elleaime53;resistance3522;follow;0.1;None;None; None
elleaime53;geraud4315;follow;0.2;None;None; None
ManifPourTous49;elleaime53;follow;0.2;None;None; None
ManifPourTous89;elleaime53;follow;0.1;None;None; None
Barberis888;elleaime53;follow;0.1;None;None; None
LeaMidene;elleaime53;follow;0.1;None;None; None
Sentinelles_be;elleaime53;follow;0.1;None;None; None
SensCommunSud92;elleaime53;follow;0.1;None;None; None
PascalGMICHEL;elleaime53;follow;0.2;None;None; None
Civitas_;elleaime53;follow;0.1;None;None; None
ArdrB;elleaime53;follow;0.1;None;None; None
elleaime53;vandewalleberna;follow;0.1;None;None; None
ChTailllebois;elleaime53;follow;0.1;None;None; None
elleaime53;mydaphne;follow;0.1;None;None; None
elleaime53;trenteet1;follow;0.2;None;None; None
LMPT75;elleaime53;follow;0.1;None;None; None
AbdelSansLeB;elleaime53;follow;0.1;None;None; None
LMPT53;elleaime53;follow;0.1;None;None; None
ManifPourTous59;elleaime53;follow;0.1;None;None; None
LMPT44;elleaime53;follow;0.2;None;None; None
Eperviet;elleaime53;follow;0.2;None;None; None
Fillon2017best;elleaime53;follow;0.2;None;None; None
ben2l;elleaime53;follow;0.2;None;None; None
elleaime53;enpatrouille;follow;0.2;None;None; None
ManifPourTous60;elleaime53;follow;0.2;None;None; None
Jean_DAlbret;elleaime53;follow;0.2;None;None; None
elleaime53;mahtfrid;follow;0.1;None;None; None
HibouDuNet;elleaime53;follow;0.1;None;None; None
chaussat_helene;elleaime53;follow;0.1;None;None; None
droite_sensee;elleaime53;follow;0.1;None;None; None
FrontPopOff;elleaime53;follow;0.1;None;None; None
Fleur2108;elleaime53;follow;0.1;None;None; None
elleaime53;pierredejaspe;follow;0.1;None;None; None
elleaime53;manifpourtous22;follow;0.1;None;None; None
BarbaraMazieres;elleaime53;follow;0.2;None;None; None
PGannat;elleaime53;follow;0.1;None;None; None
elleaime53;ouvrelacage;follow;0.2;None;None; None
elleaime53;sentinpiedi;follow;0.1;None;None; None
elleaime53;remseeks;follow;0.1;None;None; None
JstLangevin;elleaime53;follow;0.1;None;None; None
elleaime53;manifpourtous91;follow;0.1;None;None; None
Genethique;elleaime53;follow;0.1;None;None; None
eliot_meredith;elleaime53;follow;0.1;None;None; None
ResistantBase;elleaime53;follow;0.2;None;None; None
OnNaQuUneMaman;elleaime53;follow;0.1;None;None; None
elleaime53;jylgallou;follow;0.1;None;None; None
crist_va;elleaime53;follow;0.2;None;None; None
alexandrerouen;elleaime53;follow;0.2;None;None; None
elleaime53;manifpourtous11;follow;0.1;None;None; None
elisahk92;elleaime53;follow;0.2;None;None; None
NPOMMERET;elleaime53;follow;0.2;None;None; None
elleaime53;fredericmajau;follow;0.1;None;None; None
CollectifPeres;elleaime53;follow;0.2;None;None; None
delegationpcd86;elleaime53;follow;0.1;None;None; None
elleaime53;salefran;follow;0.1;None;None; None
elleaime53;fenotteenragee;follow;0.1;None;None; None
ThanarithMey;elleaime53;follow;0.1;None;None; None
LouisdeCoutes;elleaime53;follow;0.2;None;None; None
annezda;elleaime53;follow;0.1;None;None; None
elleaime53;lagrostA;follow;0.1;None;None; None
elleaime53;lmpt63;follow;0.2;None;None; None
elleaime53;mehaud1;follow;0.1;None;None; None
albdmt;elleaime53;follow;0.1;None;None; None
Vita_Montelimar;elleaime53;follow;0.1;None;None; None
Varac_a;elleaime53;follow;0.1;None;None; None
Philhum540;elleaime53;follow;0.2;None;None; None
Milpattesfourbu;elleaime53;follow;0.1;None;None; None
PoinsardXavier;elleaime53;follow;0.1;None;None; None
elleaime53;sky1948;follow;0.1;None;None; None
OFrancois60200;elleaime53;follow;0.1;None;None; None
elleaime53;tof92130;follow;0.2;None;None; None
CarolineRoux1;elleaime53;follow;0.1;None;None; None
elleaime53;vaubandaniel;follow;0.2;None;None; None
elleaime53;krunch_fr;follow;0.1;None;None; None
C_Pantalon;elleaime53;follow;0.1;None;None; None
Sentinelles_fr;elleaime53;follow;0.1;None;None; None
Enfantdabord2;elleaime53;follow;0.1;None;None; None
MarcPiguel;elleaime53;follow;0.1;None;None; None
FrkLaBaule;elleaime53;follow;0.2;None;None; None
J_JChatelier;elleaime53;follow;0.1;None;None; None
cussinelpaule;elleaime53;follow;0.1;None;None; None
VitaJeunes;elleaime53;follow;0.1;None;None; None
elleaime53;teppdude;follow;0.1;None;None; None
elleaime53;manifpourtous83;follow;0.1;None;None; None
ClPeqt;elleaime53;follow;0.1;None;None; None
Le_blog_d_HB;elleaime53;follow;0.1;None;None; None
Alis58805436;elleaime53;follow;0.2;None;None; None
elleaime53;lsas78;follow;0.1;None;None; None
alliancevita31;elleaime53;follow;0.1;None;None; None
JEANNOTKZ;elleaime53;follow;0.2;None;None; None
AFCdu94;elleaime53;follow;0.1;None;None; None
CrocdeGang;elleaime53;follow;0.1;None;None; None
J_Tiberghien;elleaime53;follow;0.1;None;None; None
dugbs78;elleaime53;follow;0.1;None;None; None
elleaime53;stanislasrig;follow;0.1;None;None; None
elleaime53;miss7terre;follow;0.1;None;None; None
elleaime53;lmptlr;follow;0.2;None;None; None
MaKarDoue;elleaime53;follow;0.1;None;None; None
BEF90894800;elleaime53;follow;0.2;None;None; None
